number,name,image,area,rarity,price,north_season,south_season,time
52,プラチナコガネ,images/プラチナコガネ.png,木/ヤシの木,あまりみかけない,10000ベル,7~8月,1~2月,"0~8時,23~24時"
53,カナブン,images/カナブン.png,木/ヤシの木,よくみかける,200ベル,6~8月,1~2月、12月,一日中
54,ゴライアスオオツノハナムグリ,images/ゴライアスオオツノハナムグリ.png,ヤシの木,あまりみかけない,8000ベル,6~9月,1~3月、12月,"0~8時,17~24時"
55,ノコギリクワガタ,images/ノコギリクワガタ.png,木/ヤシの木,みかける,2000ベル,7~8月,1~2月,一日中
56,ミヤマクワガタ,images/ミヤマクワガタ.png,木/ヤシの木,よくみかける,1000ベル,7~8月,1~2月,一日中
57,オオクワガタ,images/オオクワガタ.png,木/ヤシの木,あまりみかけない,10000ベル,7~8月,1~2月,"0~8時,23~24時"
58,ニジイロクワガタ,images/ニジイロクワガタ.png,木/ヤシの木,みかける,6000ベル,6~9月,1~3月、12月,"0~8時,19~24時"
59,ホソアカクワガタ,images/ホソアカクワガタ.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
60,オウゴンオニクワガタ,images/オウゴンオニクワガタ.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
61,ギラファノコギリクワガタ,images/ギラファノコギリクワガタ.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
62,カブトムシ,images/カブトムシ.png,木/ヤシの木,よくみかける,1350ベル,7~8月,1~2月,"0~8時,17~24時"
63,コーカサスオオカブト,images/コーカサスオオカブト.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
64,ゾウカブト,images/ゾウカブト.png,ヤシの木,あまりみかけない,8000ベル,7~8月,1~2月,"0~8時,17~24時"
65,ヘラクレスオオカブト,images/ヘラクレスオオカブト.png,ヤシの木,めったにみかけない,12000ベル,7~8月,1~2月,"0~8時,17~24時"
66,ナナフシ,images/ナナフシ.png,木,めったにみかけない,600ベル,7~11月,1~5月,"4~8時,17~19時"
67,コノハムシ,images/コノハムシ.png,家具マークに擬態,みかける,600ベル,7~9月,1~3月,一日中
68,ミノムシ,images/ミノムシ.png,木を揺すると出現,みかける,600ベル,1年中,1年中,一日中
69,アリ,images/アリ.png,地上,みかける,80ベル,1年中,1年中,一日中
70,ヤドカリ,images/ヤドカリ.png,地上(貝がらに擬態),よくみかける,1000ベル,1年中,1年中,"0~8時,19~24時"
71,フナムシ,images/フナムシ.png,岩礁(海岸の岩),みかける,200ベル,1年中,1年中,一日中
72,ハエ,images/ハエ.png,空中,あまりみかけない,60ベル,1年中,1年中,一日中
73,カ,images/カ.png,空中,みかける,130ベル,6~9月,1~3月、12月,"0~4時,17~24時"
74,ノミ,images/ノミ.png,住民の体,あまりみかけない,70ベル,4~11月,1~5月、10~12月,一日中
75,カタツムリ,images/カタツムリ.png,石の上,よくみかける,250ベル,1年中,1年中,一日中
76,ダンゴムシ,images/ダンゴムシ.png,石を叩くと出現,よくみかける,250ベル,1~6月、9~12月,3~12月,"0~16時,23~24時"
77,ムカデ,images/ムカデ.png,石を叩くと出現,みかける,300ベル,1~6月、9~12月,3~12月,16~23時
78,クモ,images/クモ.png,木を揺すると出現,みかける,600ベル,1年中,1年中,"0~8時,19~24時"
79,タランチュラ,images/タランチュラ.png,地上,あまりみかけない,8000ベル,1~4月、11~12月,5~10月,"0~4時,19~24時"
80,サソリ,images/サソリ.png,地上,あまりみかけない,8000ベル,5~10月,1~4月、11~12月,"0~4時,19~24時"
